Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Bratton, Maryann",ENG 100L - Team Engineering Lab (A),SP13,27,10,100.0%,88.9%,6.06,A (4.00),A- (3.87)
"Cole, Michael",ENG 100L - Team Engineering Lab (A),SP13,11,3,100.0%,100.0%,4.5,A (4.00),
"Cruz, Edwin Teddy",ENG 100L - Team Engineering Lab (A),SP13,16,3,100.0%,100.0%,5.17,A (4.00),
"Guest, Clark C",ENG 100L - Team Engineering Lab (A),SP13,16,3,100.0%,66.7%,3.5,A (4.00),
"Kleissl, Jan",ENG 100L - Team Engineering Lab (A),SP13,13,3,100.0%,100.0%,3.83,A (4.00),
"Hayden, Marina Calvet",ENG 3 - Orientation to Engineering III (A),SP13,43,20,89.5%,100.0%,0.5,,
"Bratton, Maryann",ENG 100A - Team Engineering (A),WI13,43,17,62.5%,62.5%,4.0,B+ (3.63),A- (3.71)
"Bratton, Maryann",ENG 100A - Team Engineering (B),WI13,34,13,100.0%,100.0%,5.59,A- (3.83),A- (3.71)
"Eremenko, Svetlana",ENG 100B - Engineering Leadership (A),WI13,14,8,100.0%,100.0%,2.5,A- (3.75),
"Bratton, Maryann",ENG 100L - Team Engineering Lab (A),WI13,25,13,100.0%,100.0%,5.83,A (4.00),A- (3.87)
"Cole, Michael",ENG 100L - Team Engineering Lab (A),WI13,10,5,80.0%,80.0%,4.5,A- (3.75),
"Cruz, Edwin Teddy",ENG 100L - Team Engineering Lab (A),WI13,11,5,100.0%,100.0%,4.0,A (4.00),
"Griswold, William G.",ENG 100L - Team Engineering Lab (A),WI13,17,5,100.0%,100.0%,8.0,A (4.00),
"Guest, Clark C",ENG 100L - Team Engineering Lab (A),WI13,11,3,100.0%,100.0%,5.5,A (4.00),
"Kleissl, Jan",ENG 100L - Team Engineering Lab (A),WI13,10,5,80.0%,80.0%,2.9,A (4.00),
"Pawlak, Geno Ronald",ENG 100L - Team Engineering Lab (A),WI13,10,4,100.0%,100.0%,4.5,A (4.00),
"Smith, David M.",ENG 100L - Team Engineering Lab (A),WI13,6,5,100.0%,100.0%,7.83,A (4.00),
"Hayden, Marina Calvet",ENG 2 - Orientation to Engineering II (A),WI13,70,38,78.4%,94.6%,1.22,A (4.00),
"Hayden, Marina Calvet",ENG 1 - Orientation to Engineering I (B),FA12,93,35,57.1%,85.7%,1.21,A- (3.86),
"Hayden, Marina Calvet",ENG 1 - Orientation to Engineering I (C),FA12,97,44,71.4%,95.2%,1.88,B+ (3.67),
"Hayden, Marina Calvet",ENG 1 - Orientation to Engineering I (D),FA12,80,40,53.8%,84.6%,0.94,A (4.00),
"Bratton, Maryann",ENG 100A - Team Engineering (A),FA12,36,20,94.4%,100.0%,5.39,A- (3.72),B+ (3.63)
"Bratton, Maryann",ENG 100A - Team Engineering (B),FA12,35,17,57.1%,85.7%,5.42,B+ (3.67),B+ (3.63)
"Bratton, Maryann",ENG 100L - Team Engineering Lab (A),FA12,26,8,100.0%,87.5%,4.21,A- (3.88),A- (3.85)
"Coimbra, Carlos F.",ENG 100L - Team Engineering Lab (A),FA12,8,4,100.0%,100.0%,6.5,A- (3.75),
"Griswold, William G.",ENG 100L - Team Engineering Lab (A),FA12,9,3,100.0%,100.0%,8.5,A (4.00),
"Guest, Clark C",ENG 100L - Team Engineering Lab (A),FA12,7,3,100.0%,100.0%,3.5,A (4.00),
"Kleissl, Jan",ENG 100L - Team Engineering Lab (A),FA12,9,3,100.0%,100.0%,3.5,A (4.00),
"Smith, David M.",ENG 100L - Team Engineering Lab (A),FA12,12,6,80.0%,100.0%,4.5,A (4.00),
