Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Kleissl, Jan",ENG 100L - Team Engineering Laboratory (F),WI08,13,7,100.0%,100.0%,5.07,A- (3.86),
"Ferrante, Jeanne",ENG 100L - Team Engineering Laboratory (G),WI08,17,16,100.0%,92.3%,6.13,B+ (3.62),
"Williams, Ebonee P.",ENG 100L - Team Engineering Laboratory (G),WI08,17,15,100.0%,91.7%,6.1,B+ (3.62),
"Griswold, William G.",ENG 100L - Team Engineering Laboratory (H),WI08,13,7,100.0%,100.0%,3.64,A (4.00),
"Ferrante, Jeanne",ENG 100L - Team Engineering Laboratory (I),WI08,9,5,100.0%,100.0%,10.5,B+ (3.33),
"Lew, Lipton",ENG 100L - Team Engineering Laboratory (I),WI08,9,8,100.0%,100.0%,7.0,B+ (3.33),
"Belongie, Serge J.",ENG 100L - Team Engineering Laboratory (L),WI08,7,6,100.0%,100.0%,4.83,A- (3.80),
"Mah, Silvia Armitano",ENG 100 - Principles of Team Engineering (A),FA07,39,34,75.0%,96.9%,2.92,B+ (3.62),B+ (3.50)
"Mah, Silvia Armitano",ENG 100A - Principles of Team Engineering (A),FA07,39,34,75.0%,96.9%,2.92,B+ (3.62),B+ (3.50)
"Palmer, Douglas Arthur",ENG 100L - Team Engineering Laboratory (B),FA07,7,4,100.0%,100.0%,5.5,A (4.00),
"Bartsch, Dirk-Uwe Guenther",ENG 100L - Team Engineering Laboratory (D),FA07,3,3,100.0%,100.0%,5.17,B+ (3.67),
"Williams, Ebonee P.",ENG 100L - Team Engineering Laboratory (G),FA07,11,3,100.0%,100.0%,3.5,A (4.00),
